Icon,Titulo,Som,Latitude,Longitude,,,,,,
som_frango,,statereza_1,-19.95,-43.915,,,,,,
som_faca,,statereza_2,-19.96,-43.885,,,,,,
som_bacalhau,,statereza_3,-19.97,-43.89,,,,-43.896,sul,MENOR
som_ovo,,statereza_4,-19.915,-43.875,,,,-44.00128,norte,MAIOR
som_vaca,,statereza_5,-19.94,-43.899,,,,,,
som_canela,,statereza_6,-19.979,-43.869,,,,-19.952775,oeste,MAIOR
som_banana,,statereza_7,-19.965,-43.87,,,,-19.86184 ,leste,MENOR
som_agriao,,statereza_8,-19.973,-43.9,,,,,,
som_colher,,statereza_9,-19.97,-43.92,,,,,,
som_laranja,,statereza_10,-19.925,-43.88,,,,,,
som_jilo,,areias_1,-19.75,-43.91,,,,,,
som_faca,,areias_2,-19.77,-43.92,,,,,,
som_banana,,areias_3,-19.83,-43.9,,,,,,
som_banana,,areias_11,-19.84,-43.91,,,,,,
som_cara,,areias_4,-19.8,-43.895,,,,,,
som_cara,,areias_9,-19.81,-43.885,,,,,,
som_couve,,areias_5,-19.76,-43.91,,,,,,
som_radio,,areias_6,-19.761,-43.89,,,,,,
som_feijao,,areias_7,-19.79,-43.935,,,,,,
som_frango,,areias_8,-19.785,-43.91,,,,,,
som_flor,,areias_10,-19.818,-43.8998,,,,,,
som_feijao,,areias_12,-19.78,-43.875,,,,,,
som_quiabo,,areias_13,-19.782,-43.939,,,,,,
som_arroz,,areias_14,-19.778,-43.895,,,,,,
som_gengibre,,papagaios_1,-19.985,-43.980,,,,,,
som_banana,,papagaios_2,-19.93,-43.98,,,,,,
som_paudoce,,papagaios_3,-19.94,-43.95,,,,,,
som_vaca,,papagaios_4,-19.95,-43.98,,,,,,
som_quiabo,Po de quiabo,papagaios_6,-19.96,-43.955,,,,,,
som_mamao,,papagaios_7,-19.955,-43.99,,,,,,
som_panela,,papagaios_9,-19.979,-43.965,,,,,,
som_panela,,papagaios_13,-19.975,-43.975,,,,,,
som_colher,,papagaios_5,-19.97,-43.99,,,,,,
som_colher,,papagaios_8,-19.975,-43.9945,,,,,,
som_colher,,papagaios_10,-19.98,-43.996,,,,,,
som_colher,,papagaios_12,-19.985,-43.992,,,,,,
som_faca,,papagaios_11,-19.94,-44.0,,,,,,
som_sol,,papagaios_14,-19.945,-44.009,,,,,,
som_quiabo,,concordia_1,-19.825,-43.96,,,,,,
som_porco,,concordia_2,-19.85,-44.005,,,,,,
som_porco,,concordia_15,-19.838,-44.000,,,,,,
som_panela,,concordia_3,-19.80,-43.99,,,,,,
som_panela,,concordia_8,-19.805,-44.01,,,,,,
som_panela,,concordia_9,-19.795,-44.00,,,,,,
som_panela,,concordia_5,-19.79,-43.98,,,,,,
som_feijao,,concordia_4,-19.855,-43.97,,,,,,
som_feijao,,concordia_17,-19.858,-43.978,,,,,,
som_feijao,,concordia_7,-19.83,-44.009,,,,,,
som_colher,,concordia_6,-19.859,-43.999,,,,,,
som_colher,,concordia_12,-19.84,-44.015,,,,,,
som_faca,,concordia_13,-19.85,-44.022,,,,,,
som_faca,,concordia_14,-19.843,-44.019,,,,,,
som_faca,,concordia_18,-19.86,-44.015,,,,,,
som_salsinha,,concordia_10,-19.825,-44.015,,,,,,
som_fogo,,concordia_11,-19.81,-43.96,,,,,,
som_alho,,concordia_16,-19.833,-43.987,,,,,,
som_bacalhau,,concordia_19,-19.820,-43.995,,,,,,
